Date,S&P Health Care,Dow Jones Industrial Average,MSCI World Index USD,S&P 400 Mid Cap,S&P 500 Consumer Staples,S&P 500 Industrials,S&P 500 Information Tech,S&P 500 Utilities
03/01/2023,12800,33140,2600,2420,777.29,833.12,2150,358.5
04/01/2023,12920,33270,2620,2460,779.53,840.73,2160,361.86
05/01/2023,12720,32930,2590,2430,771.85,831.6,2110,353.82
06/01/2023,12910,33630,2650,2490,792.74,854,2180,361
09/01/2023,12980,33520,2660,2490,784.59,850.41,2200,363.3
10/01/2023,13310,33700,2670,2510,783.33,855,2210,363.46
11/01/2023,13410,33970,2700,2550,783.83,863.19,2250,366.58
12/01/2023,13530,34190,2720,2570,777.62,868.1,2270,364.23
13/01/2023,13720,34300,2740,2580,781.2,867.03,2280,362.63
17/01/2023,13780,33910,2740,2580,781.17,859.73,2290,362.18
18/01/2023,13600,33300,2710,2540,760.45,843.87,2260,353.46
19/01/2023,13560,33040,2690,2520,752.72,826.29,2230,349.93
20/01/2023,13750,33380,2730,2560,758.85,837.89,2290,351.99
23/01/2023,13880,33630,2750,2590,761.11,847.05,2340,352.14
24/01/2023,13580,33730,2760,2580,764.03,852.53,2340,353.85
25/01/2023,13690,33740,2760,2590,766.19,848.01,2340,349.03
26/01/2023,13780,33950,2780,2610,764.07,852.73,2380,350.38
27/01/2023,13870,33980,2790,2620,762.14,855.73,2390,350.27
30/01/2023,13750,33720,2760,2590,762.71,847.44,2340,348.68
31/01/2023,14100,34090,2790,2650,770.91,861.96,2370,351.17
01/02/2023,14250,34090,2810,2700,776.77,868.1,2430,351.81
02/02/2023,14360,34050,2850,2730,770.11,874.82,2500,352.35
03/02/2023,14170,33930,2820,2710,766.84,870.28,2480,345.05
06/02/2023,13850,33890,2790,2680,767.03,868.47,2450,348.04
07/02/2023,14040,34160,2820,2700,764.28,870.62,2510,347.76
08/02/2023,14010,33950,2800,2670,757.91,865.51,2470,341.81
09/02/2023,13870,33700,2790,2630,755.67,857.89,2460,336.99
10/02/2023,13980,33870,2780,2640,762.7,864.22,2450,343.74
13/02/2023,14030,34250,2810,2670,771.64,871.83,2490,345.75
14/02/2023,14010,34090,2810,2670,764.47,869.36,2500,344.09
15/02/2023,14250,34130,2820,2690,765.89,874.82,2510,346.29
16/02/2023,14330,33700,2790,2670,759.8,865.28,2470,343.42
17/02/2023,14340,33830,2780,2670,769.6,870.74,2440,346.85
21/02/2023,13960,33130,2740,2600,767.01,850.77,2380,340.31
22/02/2023,14050,33050,2730,2600,764.96,848.54,2380,338.88
23/02/2023,14040,33150,2740,2620,763.31,851.92,2420,337.24
24/02/2023,13860,32820,2710,2600,758.81,846.99,2370,337.17
27/02/2023,13900,32890,2720,2610,757.41,854.04,2380,334.59
28/02/2023,13840,32660,2710,2600,751.73,851.88,2380,328.82
01/03/2023,13710,32660,2710,2610,746.03,855.08,2360,323.16
02/03/2023,13650,33000,2720,2620,755.09,865.34,2390,329.05
03/03/2023,13880,33390,2760,2650,755.69,874.52,2440,334.84
06/03/2023,13550,33430,2760,2620,758.17,872.77,2450,336.28
07/03/2023,13410,32860,2720,2580,750.78,861.7,2420,330.71
08/03/2023,13370,32800,2730,2590,751.67,863.67,2440,333.28
09/03/2023,13080,32250,2690,2520,744.56,851,2410,330.48
10/03/2023,12750,31910,2660,2450,741.17,835.48,2370,325.2
13/03/2023,12700,31820,2640,2410,744.68,830.38,2380,330.22
14/03/2023,12830,32160,2670,2450,750.65,839.14,2430,334.46
15/03/2023,12780,31870,2640,2400,755.75,818.08,2440,338.93
16/03/2023,13020,32250,2680,2430,755.19,828.48,2500,341.2
17/03/2023,12770,31860,2660,2370,750.63,815,2500,337.87
20/03/2023,12840,32240,2680,2410,760.78,826.06,2510,340.62
21/03/2023,13150,32560,2710,2460,759.84,835.38,2530,333.62
22/03/2023,12840,32030,2690,2400,752.38,819.46,2500,327.02
23/03/2023,12730,32110,2700,2390,749.13,817.61,2550,323.73
24/03/2023,12880,32240,2690,2400,761.34,820.48,2550,333.82
27/03/2023,13030,32430,2700,2430,765.48,827.24,2530,334.24
28/03/2023,12950,32390,2700,2430,767.18,831.74,2520,335.22
29/03/2023,13020,32720,2740,2460,771.29,843.55,2570,340.04
30/03/2023,12980,32860,2760,2470,773.93,845.47,2600,341.42
31/03/2023,13150,33270,2790,2510,780.38,856.59,2640,344.01
03/04/2023,13310,33600,2800,2510,784.39,858.21,2640,341.52
04/04/2023,13280,33400,2800,2470,782.48,838.88,2620,343.3
05/04/2023,13380,33480,2780,2450,786.82,827.97,2590,352.13
06/04/2023,13400,33490,2790,2450,787.45,827.76,2610,354.72
10/04/2023,13530,33590,2790,2480,787.34,835.19,2600,354.01
11/04/2023,13750,33680,2800,2500,789.24,840.11,2580,354.24
12/04/2023,13600,33650,2800,2490,785.7,842.91,2560,353.83
13/04/2023,13780,34030,2830,2500,790.06,846.09,2610,353.91
14/04/2023,13620,33890,2830,2490,785.47,845.07,2600,349.97
17/04/2023,13650,33990,2830,2510,790.1,851.74,2610,351.97
18/04/2023,13570,33980,2840,2510,792.68,855.69,2620,350.17
19/04/2023,13540,33900,2830,2510,792.29,855.09,2620,352.91
20/04/2023,13440,33790,2820,2500,792.75,853.51,2600,352.72
21/04/2023,13730,33810,2820,2500,798.68,851.44,2590,353.78
24/04/2023,13730,33880,2830,2500,801.87,853.37,2580,355.54
25/04/2023,13510,33530,2790,2450,800.94,837.71,2520,355.2
26/04/2023,13410,33300,2780,2430,795.05,822.05,2570,346.78
27/04/2023,13590,33830,2820,2470,803.31,838.37,2620,350.94
28/04/2023,13610,34100,2840,2490,807.2,846.11,2650,350.26
01/05/2023,13670,34050,2830,2490,807.92,850.77,2650,350.98
02/05/2023,13210,33680,2800,2450,805.32,841.85,2630,346.67
03/05/2023,13220,33410,2800,2450,798.98,838.62,2610,345.58
04/05/2023,13060,33130,2780,2410,796.63,829.44,2600,348.11
05/05/2023,13510,33670,2820,2460,803.74,841.93,2670,350.42
08/05/2023,13550,33620,2830,2450,801.94,838.82,2670,349.28
09/05/2023,13550,33560,2820,2440,799.5,840.28,2640,348.57
10/05/2023,13630,33530,2820,2450,798.32,837.56,2670,351.86
11/05/2023,13540,33310,2810,2430,800.82,832.15,2660,347.84
12/05/2023,13480,33300,2810,2430,803.68,832.24,2660,349.38
15/05/2023,13550,33350,2820,2450,801.49,836.46,2680,345.04
16/05/2023,13380,33010,2800,2420,794.47,825.06,2680,337.12
17/05/2023,13550,33420,2820,2460,793.66,839.09,2720,335.92
18/05/2023,13510,33540,2840,2480,790.14,844.69,2770,334.71
19/05/2023,13530,33430,2840,2460,790.19,842.42,2770,334.15
22/05/2023,13610,33290,2850,2470,778.59,842.45,2770,334.24
23/05/2023,13430,33060,2820,2440,773.06,832.07,2730,333.1
24/05/2023,13300,32800,2790,2420,768.05,821.53,2710,331.01
25/05/2023,13110,32760,2800,2420,762.16,824.03,2830,326.45
26/05/2023,13120,33090,2830,2440,764.84,830.39,2910,326.13
30/05/2023,13000,33040,2830,2440,756.55,828.48,2930,324.86
31/05/2023,13120,32910,2800,2410,757.09,816.88,2900,327.97
01/06/2023,13270,33060,2830,2430,756.44,827.19,2930,325.4
02/06/2023,13630,33760,2870,2510,766.99,851.69,2950,328.7
05/06/2023,13650,33560,2870,2480,764.31,845.64,2930,330.17
06/06/2023,13780,33570,2880,2530,760.72,850.74,2930,329.95
07/06/2023,13840,33670,2870,2570,758.22,864.24,2880,335.56
08/06/2023,13880,33830,2880,2560,763.84,865.78,2920,336.93
09/06/2023,13810,33880,2890,2540,762.95,863.48,2930,334.98
12/06/2023,13870,34070,2910,2560,763,869.48,2990,334.42
13/06/2023,14040,34210,2930,2580,766.19,879.55,3010,334.21
14/06/2023,13720,33980,2940,2570,770.46,876.99,3050,333.98
15/06/2023,13860,34410,2970,2590,777.63,890.25,3090,337.51
16/06/2023,13780,34300,2960,2580,777.99,888.91,3060,339.29
20/06/2023,13760,34050,2940,2560,772.16,882.17,3050,335.33
21/06/2023,13810,33950,2930,2560,775.15,887.17,3000,338.15
22/06/2023,13830,33950,2930,2540,779.13,880.85,3030,335.59
23/06/2023,13710,33730,2900,2510,774.52,874.25,3000,330.51
26/06/2023,13730,33710,2890,2530,774.79,881.18,2970,333.75
27/06/2023,13920,33930,2920,2580,777.41,892.24,3030,333.89
28/06/2023,14030,33850,2920,2580,772.81,891.9,3030,328.95
29/06/2023,14160,34120,2930,2610,771.63,900.26,3030,328.8
30/06/2023,14240,34410,2970,2620,778.82,908.09,3090,332.8
03/07/2023,14100,34420,2970,2630,784.19,908.72,3080,335.02
05/07/2023,13980,34290,2960,2610,783.46,903.24,3060,338.7
06/07/2023,13860,33920,2920,2580,780.76,896.56,3050,334.61
07/07/2023,13900,33730,2920,2600,770.3,898.61,3040,332.14
10/07/2023,14120,33940,2930,2640,770.56,911.11,3040,330.75
11/07/2023,14160,34260,2950,2670,771.61,922.06,3050,334.86
12/07/2023,14040,34350,2990,2680,773.42,920.19,3080,339.77
13/07/2023,14040,34400,3020,2700,776.83,921.59,3130,341.06
14/07/2023,14200,34510,3020,2670,779.52,918.53,3130,339.66
17/07/2023,14270,34590,3020,2690,777.21,922.4,3170,335.66
18/07/2023,14390,34950,3040,2720,776.21,927.62,3210,333.05
19/07/2023,14460,35060,3050,2730,783.42,927.15,3200,336.45
20/07/2023,14430,35230,3030,2710,789.64,930.92,3130,342.67
21/07/2023,14400,35230,3030,2710,792.31,926.65,3120,347.8
24/07/2023,14310,35410,3040,2710,795.36,928.85,3130,346.82
25/07/2023,14310,35440,3050,2710,794.95,927.64,3170,347.57
26/07/2023,14210,35520,3040,2730,796.63,933.79,3130,347.41
27/07/2023,14000,35280,3030,2690,790.16,926.15,3120,341.41
28/07/2023,14110,35460,3060,2720,797.98,931.88,3160,340.51
31/07/2023,14270,35560,3060,2730,794.32,934.02,3170,340.62
01/08/2023,14210,35630,3050,2720,790.27,936.97,3170,336.34
02/08/2023,14220,35280,3000,2690,792.25,926.84,3090,336.32
03/08/2023,14170,35220,2990,2680,790.9,921.18,3080,328.62
04/08/2023,14140,35070,2990,2680,782.82,915.16,3030,324.65
07/08/2023,14180,35470,3000,2700,789.49,926.67,3040,324.58
08/08/2023,14130,35310,2990,2680,784.29,922.41,3020,326.18
09/08/2023,14040,35120,2980,2670,785.3,921.61,2970,326.74
10/08/2023,13950,35180,2980,2660,783.7,919.02,2970,325.71
11/08/2023,14000,35280,2970,2660,785.16,919.97,2940,327.38
14/08/2023,13990,35310,2980,2660,781.06,920.24,3000,324.66
15/08/2023,13860,34950,2950,2630,773.12,908.52,2970,319.17
16/08/2023,13700,34770,2930,2600,770.97,903.49,2950,320.63
17/08/2023,13440,34470,2900,2570,763.15,895.89,2920,319.56
18/08/2023,13490,34500,2900,2580,765.98,896.96,2920,320.8
21/08/2023,13540,34460,2910,2580,761.08,895.72,2990,318.89
22/08/2023,13470,34290,2910,2570,757.05,893.9,2980,319.73
23/08/2023,13510,34470,2940,2600,761.79,902.79,3040,321.18
24/08/2023,13390,34100,2910,2570,755.92,891.79,2970,319.15
25/08/2023,13460,34350,2910,2580,760.16,899.43,3000,321.65
28/08/2023,13530,34560,2940,2600,763.63,906.49,3020,321.52
29/08/2023,13670,34850,2980,2640,766.77,913.52,3080,322.42
30/08/2023,13730,34890,2990,2640,768.11,917.54,3110,321.05
31/08/2023,13530,34720,2990,2650,763.99,912.89,3120,317.74
01/09/2023,13490,34840,2990,2670,757.65,917.58,3130,316.1
05/09/2023,13180,34640,2970,2610,751.36,902.08,3140,311.22
06/09/2023,13170,34440,2960,2600,749.91,897.77,3100,311.85
07/09/2023,13130,34500,2950,2580,752.45,894.94,3050,315.79
08/09/2023,13040,34580,2950,2570,753.62,890.79,3050,318.83
11/09/2023,13080,34660,2970,2580,759.88,890.73,3070,319.9
12/09/2023,12940,34650,2960,2580,754.5,887.43,3020,320.31
13/09/2023,12900,34580,2960,2560,756.43,881.52,3020,324.17
14/09/2023,12910,34910,2980,2590,762.61,890.21,3050,328.95
15/09/2023,12890,34620,2960,2570,756.39,885.46,2990,327.33
18/09/2023,12850,34620,2960,2560,757.03,886.46,3000,327.16
19/09/2023,12810,34520,2950,2560,755.14,882.34,3000,325.37
20/09/2023,12820,34440,2940,2550,756.31,878.91,2950,325.71
21/09/2023,12710,34070,2890,2500,746.41,864.62,2900,322.19
22/09/2023,12700,33960,2880,2500,742.89,861.67,2910,321.67
25/09/2023,12840,34010,2880,2510,739.72,865.64,2920,321.04
26/09/2023,12660,33620,2840,2470,733.06,852.5,2870,311.26
27/09/2023,12650,33550,2840,2490,727.42,859,2870,305.25
28/09/2023,12770,33670,2860,2510,729.21,862.66,2890,298.58
29/09/2023,12650,33510,2850,2500,727.36,857.57,2910,299.2
02/10/2023,12650,33430,2840,2470,722.67,849.73,2940,285.09
03/10/2023,12360,33000,2800,2430,717.62,843.45,2890,288.42
04/10/2023,12440,33130,2810,2440,722.87,846.68,2930,288.17
05/10/2023,12400,33120,2820,2440,707.91,841.3,2930,286.59
06/10/2023,12480,33410,2850,2460,704.51,852.5,2990,290.51
09/10/2023,12510,33600,2860,2470,704.98,866.19,3000,293.44
10/10/2023,12690,33740,2890,2500,712.57,871.17,3010,297.42
11/10/2023,12420,33800,2900,2510,708.01,876.6,3040,302.27
12/10/2023,12120,33630,2880,2460,699.88,868.42,3040,297.75
13/10/2023,12220,33670,2860,2440,705.78,860.99,3000,301
16/10/2023,12320,33980,2890,2480,712.68,870.04,3030,304.15
17/10/2023,12490,34000,2890,2510,716.29,872.77,3000,303.42
18/10/2023,12400,33670,2850,2460,719.09,851.56,2960,300.57
19/10/2023,12330,33410,2820,2420,713.52,843.88,2950,297.76
20/10/2023,12230,33130,2790,2390,710.82,835.2,2900,294.62
23/10/2023,12130,32940,2790,2370,708.88,831.31,2910,292.2
24/10/2023,12240,33140,2800,2380,715.66,837.28,2930,299.72
25/10/2023,12040,33040,2770,2350,717.99,826.65,2900,301.17
26/10/2023,11990,32780,2740,2360,713.48,822.99,2840,303.77
27/10/2023,11880,32420,2730,2330,703.8,815.8,2850,298.27
30/10/2023,11910,32930,2760,2350,714.73,825.79,2890,300.29
31/10/2023,12050,33050,2770,2370,717.39,832.11,2900,302.87
01/11/2023,12000,33270,2800,2380,716.98,834.83,2960,306.19
02/11/2023,12080,33840,2850,2430,725.98,851.96,3010,311.97
03/11/2023,12390,34060,2880,2480,726.66,858.95,3050,313.83
06/11/2023,12300,34100,2890,2460,727.93,856.73,3070,312.95
07/11/2023,12400,34150,2890,2450,729.45,854.53,3110,310.66
08/11/2023,12260,34110,2890,2440,726.37,856.86,3130,308.38
09/11/2023,12030,33890,2880,2410,723.45,854.76,3110,304.11
10/11/2023,12110,34280,2900,2440,728.23,866.21,3190,305.68
13/11/2023,12190,34340,2900,2440,730.89,867.01,3180,301.89
14/11/2023,12680,34830,2960,2530,737.43,884.71,3240,313.79
15/11/2023,12710,34990,2980,2540,742.58,886.47,3230,312.75
16/11/2023,12670,34950,2970,2520,733.69,885.93,3260,314.16
17/11/2023,12790,34950,2990,2540,732.38,891.12,3250,314.76
20/11/2023,12890,35150,3000,2550,732.32,894.01,3300,313.79
21/11/2023,12810,35090,3000,2530,734.9,893.54,3270,314.48
22/11/2023,12980,35270,3000,2550,740.11,895.24,3280,315.54
24/11/2023,13070,35390,3020,2560,742.94,897.85,3270,316.5
27/11/2023,12990,35330,3010,2560,741.16,892.65,3270,316.8
28/11/2023,12930,35420,3010,2540,744.14,890.49,3280,317.79
29/11/2023,12780,35430,3010,2550,738.13,893.39,3280,315.29
30/11/2023,12860,35950,3020,2560,744.26,902.92,3270,316.57
01/12/2023,13130,36250,3040,2630,747.05,917.07,3280,320.51
04/12/2023,13300,36200,3030,2650,747.79,918.95,3240,319.25
05/12/2023,13100,36120,3020,2610,741.87,911.04,3260,316.65
06/12/2023,13060,36050,3020,2610,740.2,915.35,3230,321.02
07/12/2023,13020,36120,3040,2620,742.59,915.94,3270,320.25
08/12/2023,13120,36250,3050,2630,737.75,918.97,3300,319.56
11/12/2023,13190,36400,3060,2650,744.87,927.24,3320,321.68
12/12/2023,13280,36580,3070,2640,747.17,931.51,3340,320.37
13/12/2023,13580,37090,3100,2710,760.76,942.14,3370,332.28
14/12/2023,13650,37250,3130,2770,749.45,953.7,3360,328.03
15/12/2023,13300,37310,3130,2750,749.43,951.8,3390,322.36
18/12/2023,13280,37310,3130,2750,757.52,952.49,3400,321.4
19/12/2023,13530,37560,3150,2780,759.22,959.43,3400,323.21
20/12/2023,13220,37080,3120,2740,743.89,943.72,3350,316.81
21/12/2023,13530,37400,3150,2780,749.01,953.77,3390,317.22
